bootstrap,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,criterion,roc_auc, F1,recall,precision
True,10,auto,1,2,400,gini,0.689,0.352,0.609,0.248
True,10,auto,1,2,400,entropy,0.695,0.354,0.630,0.247
True,10,auto,1,2,600,entropy,0.697,0.358,0.630,0.250
True,10,auto,1,2,600,entropy,0.696,0.356,0.630,0.248
True,10,auto,1,2,800,entropy,0.692,0.354,0.620,0.248
True,10,auto,1,2,800,entropy,0.696,0.358,0.627,0.251
True,10,auto,1,2,1200,entropy,0.693,0.354,0.623,0.247
True,10,auto,1,2,1200,entropy,0.691,0.352,0.620,0.245
True,10,auto,1,2,1000,entropy,0.698,0.359,0.630,0.251
True,10,auto,1,2,1000,entropy,0.695,0.356,0.623,0.250
True,10,auto,1,10,600,entropy,0.696,0.356,0.634,0.247
True,10,sqrt,8,10,600,entropy,0.701,0.358,0.648,0.247
True,10,sqrt,8,10,600,entropy,0.703,0.361,0.651,0.249
True,10,auto,8,10,600,entropy,0.700,0.357,0.648,0.246
True,10,auto,8,10,600,entropy,0.700,0.358,0.644,0.248
True,10,auto,1,5,600,entropy,0.693,0.353,0.623,0.247
True,10,log2,8,10,600,entropy,0.695,0.350,0.644,0.240
True,10,log2,8,10,600,entropy,0.700,0.355,0.655,0.243
True,10,sqrt,8,5,800,entropy,0.700,0.357,0.648,0.246
True,10,auto,2,10,600,entropy,0.692,0.353,0.623,0.246
True,10,sqrt,8,5,600,entropy,0.707,0.362,0.662,0.249
True,10,sqrt,8,5,600,entropy,0.703,0.359,0.655,0.247
True,10,auto,2,10,600,entropy,0.693,0.354,0.623,0.247
True,10,auto,4,5,600,entropy,0.694,0.353,0.630,0.245
True,10,sqrt,4,5,600,entropy,0.694,0.353,0.630,0.245
True,10,sqrt,4,5,600,entropy,0.694,0.354,0.627,0.247
True,10,auto,4,5,600,entropy,0.694,0.353,0.630,0.245
True,10,auto,4,10,600,entropy,0.697,0.357,0.634,0.248
True,10,auto,4,10,600,entropy,0.698,0.356,0.641,0.247
True,10,auto,8,5,600,entropy,0.698,0.355,0.641,0.246
True,10,sqrt,8,10,800,entropy,0.707,0.365,0.658,0.252
True,10,sqrt,4,10,600,entropy,0.692,0.352,0.627,0.245
True,10,sqrt,8,10,600,entropy,0.709,0.367,0.662,0.254
True,10,sqrt,2,10,600,entropy,0.687,0.348,0.613,0.243
True,10,sqrt,4,10,600,entropy,0.694,0.353,0.630,0.246
True,10,auto,8,10,600,entropy,0.701,0.359,0.648,0.248
True,10,sqrt,2,10,600,entropy,0.694,0.355,0.627,0.247
True,10,auto,8,10,800,entropy,0.704,0.360,0.655,0.249
True,10,auto,8,10,800,entropy,0.703,0.360,0.651,0.249
True,10,sqrt,8,10,600,entropy,0.697,0.355,0.641,0.245
True,10,auto,8,10,600,entropy,0.705,0.362,0.655,0.250
True,10,sqrt,8,5,800,entropy,0.706,0.363,0.658,0.251
True,10,sqrt,4,10,600,entropy,0.693,0.353,0.627,0.246
True,10,sqrt,4,10,600,entropy,0.693,0.352,0.630,0.244
True,10,sqrt,8,10,800,entropy,0.707,0.365,0.655,0.253
True,10,log2,8,10,800,entropy,0.692,0.347,0.641,0.238
True,10,auto,2,10,600,entropy,0.694,0.355,0.627,0.247
True,10,auto,1,5,600,entropy,0.689,0.351,0.613,0.246
True,10,auto,2,10,600,entropy,0.693,0.353,0.627,0.246
True,10,auto,4,10,600,entropy,0.699,0.358,0.641,0.249
True,10,sqrt,8,10,600,entropy,0.697,0.354,0.641,0.245
True,10,auto,4,10,600,entropy,0.692,0.351,0.627,0.244
True,10,auto,2,5,600,entropy,0.693,0.354,0.623,0.247
True,10,sqrt,8,10,600,entropy,0.705,0.362,0.655,0.250
True,10,sqrt,8,10,600,entropy,0.706,0.364,0.655,0.252
True,10,auto,2,5,600,entropy,0.695,0.356,0.627,0.249
True,10,sqrt,8,10,600,entropy,0.697,0.355,0.637,0.246
True,10,auto,1,10,600,entropy,0.697,0.356,0.634,0.248
True,10,sqrt,8,5,600,entropy,0.704,0.361,0.651,0.250
True,10,log2,8,5,600,entropy,0.690,0.345,0.637,0.236
True,10,sqrt,8,10,1000,entropy,0.705,0.362,0.655,0.250
True,10,sqrt,8,10,1000,entropy,0.701,0.359,0.648,0.248
True,10,sqrt,8,5,600,entropy,0.700,0.357,0.648,0.246
True,10,log2,8,10,800,entropy,0.696,0.350,0.648,0.240
True,10,auto,8,10,1000,entropy,0.702,0.359,0.651,0.248
True,10,auto,8,5,800,entropy,0.705,0.362,0.655,0.250
True,10,auto,8,5,800,entropy,0.703,0.361,0.651,0.249
True,10,sqrt,8,5,1000,entropy,0.703,0.359,0.655,0.248
True,10,sqrt,2,10,600,entropy,0.695,0.354,0.630,0.247
True,10,sqrt,2,10,600,entropy,0.694,0.354,0.627,0.247
True,10,auto,8,10,1000,entropy,0.707,0.364,0.662,0.251
True,10,auto,2,10,800,entropy,0.692,0.353,0.623,0.246
True,10,sqrt,8,5,1000,entropy,0.702,0.360,0.648,0.249
True,10,auto,4,5,800,entropy,0.693,0.354,0.623,0.248
True,10,sqrt,4,5,800,entropy,0.699,0.358,0.637,0.249
True,10,auto,4,5,800,entropy,0.696,0.355,0.634,0.246
True,10,sqrt,8,10,800,entropy,0.704,0.362,0.651,0.251
True,10,auto,8,10,800,entropy,0.703,0.360,0.651,0.248
True,10,auto,4,10,800,entropy,0.698,0.357,0.637,0.248
True,10,auto,4,10,800,entropy,0.697,0.356,0.634,0.248
True,10,auto,8,10,800,entropy,0.705,0.362,0.655,0.250
True,10,sqrt,8,10,800,entropy,0.703,0.361,0.651,0.250
True,10,auto,2,10,800,entropy,0.688,0.348,0.620,0.242
True,10,sqrt,4,10,800,entropy,0.693,0.352,0.627,0.245
True,10,sqrt,4,10,800,entropy,0.698,0.358,0.637,0.249
True,10,sqrt,2,10,800,entropy,0.690,0.351,0.620,0.244
True,10,sqrt,4,10,800,entropy,0.694,0.353,0.630,0.245
True,10,sqrt,2,10,800,entropy,0.693,0.352,0.627,0.245
True,10,sqrt,4,10,800,entropy,0.694,0.354,0.627,0.246
True,10,sqrt,2,5,600,entropy,0.697,0.355,0.637,0.246
True,10,sqrt,2,5,600,entropy,0.689,0.349,0.620,0.243
True,10,sqrt,2,5,800,entropy,0.698,0.357,0.634,0.249
True,10,sqrt,2,5,800,entropy,0.692,0.353,0.623,0.246
True,10,auto,4,10,800,entropy,0.697,0.355,0.637,0.246
True,10,auto,4,10,800,entropy,0.698,0.356,0.641,0.247
True,10,auto,2,10,800,entropy,0.695,0.356,0.627,0.249
True,10,auto,2,10,800,entropy,0.697,0.357,0.634,0.248
True,10,auto,4,10,1000,entropy,0.696,0.355,0.634,0.247
True,10,sqrt,8,10,800,entropy,0.699,0.356,0.644,0.246
True,10,auto,1,10,800,entropy,0.694,0.355,0.623,0.248
True,10,sqrt,8,10,800,entropy,0.701,0.359,0.644,0.249
True,10,log2,8,10,1000,entropy,0.698,0.353,0.648,0.243
True,10,sqrt,8,10,1200,entropy,0.705,0.363,0.651,0.252
True,10,auto,2,5,800,entropy,0.695,0.354,0.630,0.247
True,10,log2,8,10,1000,entropy,0.694,0.348,0.644,0.239
True,10,auto,2,5,800,entropy,0.695,0.356,0.627,0.249
True,10,auto,8,10,1200,entropy,0.704,0.361,0.655,0.249
True,10,auto,8,10,1200,entropy,0.701,0.358,0.648,0.247
True,10,sqrt,8,10,800,entropy,0.703,0.361,0.651,0.250
True,10,auto,1,5,800,entropy,0.693,0.354,0.623,0.247
True,10,sqrt,8,10,800,entropy,0.703,0.360,0.651,0.249
True,10,sqrt,8,5,1200,entropy,0.703,0.360,0.651,0.249
True,10,auto,1,5,800,entropy,0.692,0.354,0.620,0.248
True,10,auto,1,10,800,entropy,0.692,0.353,0.623,0.246
True,10,auto,8,5,1000,entropy,0.707,0.363,0.662,0.250
True,10,sqrt,4,5,800,entropy,0.692,0.351,0.627,0.244
True,10,auto,8,5,1000,entropy,0.702,0.358,0.651,0.247
True,10,sqrt,8,10,1000,entropy,0.699,0.357,0.644,0.247
True,10,auto,8,10,1000,entropy,0.702,0.359,0.651,0.247
True,10,sqrt,8,5,800,entropy,0.701,0.359,0.648,0.248
True,10,auto,8,10,1000,entropy,0.697,0.354,0.641,0.245
True,10,sqrt,8,5,800,entropy,0.705,0.362,0.655,0.250
True,10,auto,4,5,1000,entropy,0.693,0.352,0.627,0.245
True,10,auto,4,5,1000,entropy,0.697,0.356,0.637,0.247
True,10,sqrt,2,10,800,entropy,0.696,0.356,0.630,0.248
True,10,sqrt,2,10,800,entropy,0.698,0.358,0.637,0.249
True,10,sqrt,8,10,1200,entropy,0.701,0.358,0.648,0.247
True,10,auto,4,10,1000,entropy,0.697,0.356,0.634,0.248
True,10,auto,4,10,1000,entropy,0.699,0.359,0.637,0.250
True,10,sqrt,4,10,1000,entropy,0.698,0.357,0.641,0.247
True,10,sqrt,4,10,1000,entropy,0.697,0.355,0.637,0.246
True,10,auto,2,10,1000,entropy,0.696,0.356,0.630,0.248
True,10,auto,2,10,1000,entropy,0.695,0.355,0.627,0.248
True,10,sqrt,2,10,1000,entropy,0.693,0.353,0.627,0.246
True,10,sqrt,2,10,1000,entropy,0.695,0.354,0.630,0.247
True,10,sqrt,4,10,1000,entropy,0.691,0.350,0.623,0.244
True,10,sqrt,4,10,1000,entropy,0.694,0.354,0.627,0.247
True,10,sqrt,8,10,1000,entropy,0.694,0.351,0.637,0.242
True,10,auto,4,10,1000,entropy,0.693,0.352,0.627,0.245
True,10,auto,4,10,1200,entropy,0.695,0.353,0.634,0.245
True,10,log2,8,10,1200,entropy,0.699,0.353,0.651,0.242
True,10,sqrt,2,5,1000,entropy,0.690,0.351,0.616,0.246
True,10,sqrt,2,5,1000,entropy,0.699,0.359,0.634,0.251
True,10,log2,8,10,1200,entropy,0.696,0.352,0.644,0.242
True,10,auto,4,10,1200,entropy,0.698,0.357,0.637,0.248
True,10,auto,2,10,1000,entropy,0.694,0.354,0.627,0.246
True,10,sqrt,8,10,1000,entropy,0.700,0.357,0.648,0.247
True,10,auto,2,10,1000,entropy,0.695,0.354,0.630,0.246
True,10,sqrt,8,10,1000,entropy,0.704,0.362,0.651,0.251
True,10,auto,1,10,1000,entropy,0.694,0.355,0.623,0.249
True,10,auto,1,10,1000,entropy,0.692,0.352,0.623,0.245
True,10,auto,2,5,1000,entropy,0.694,0.355,0.627,0.247
True,10,sqrt,8,10,1000,entropy,0.703,0.361,0.651,0.249
True,10,auto,8,5,1200,entropy,0.699,0.356,0.644,0.246
True,10,auto,2,5,1000,entropy,0.692,0.353,0.623,0.246
True,10,auto,8,5,1200,entropy,0.702,0.359,0.651,0.248
True,10,sqrt,8,10,1400,entropy,0.701,0.358,0.651,0.247
True,10,auto,8,10,1200,entropy,0.703,0.360,0.651,0.248
True,10,sqrt,4,5,1000,entropy,0.697,0.357,0.634,0.248
