C,gamma,kernel,roc_auc, F1,recall,precision
1000,0.0001,sigmoid,0.717,0.356,0.732,0.235
1000,0.0001,sigmoid,0.717,0.356,0.732,0.235
1300,0.0001,sigmoid,0.717,0.356,0.732,0.235
1200,0.0001,sigmoid,0.717,0.356,0.732,0.235
1200,0.0001,sigmoid,0.717,0.356,0.732,0.235
1400,0.0001,sigmoid,0.717,0.356,0.732,0.235
1400,0.0001,sigmoid,0.717,0.356,0.732,0.235
1300,0.0001,sigmoid,0.717,0.356,0.732,0.235
1500,0.0001,sigmoid,0.717,0.355,0.732,0.234
1500,0.0001,sigmoid,0.717,0.355,0.732,0.234
2000,0.0001,sigmoid,0.717,0.355,0.732,0.234
2000,0.0001,sigmoid,0.717,0.355,0.732,0.234
100,0.0001,sigmoid,0.717,0.356,0.729,0.235
100,0.0001,sigmoid,0.717,0.356,0.729,0.235
3000,0.0001,sigmoid,0.716,0.355,0.732,0.234
3000,0.0001,sigmoid,0.716,0.355,0.732,0.234
2000,1.00E-05,sigmoid,0.716,0.354,0.729,0.234
1000,1.00E-05,sigmoid,0.716,0.356,0.729,0.235
1000,1.00E-05,sigmoid,0.716,0.356,0.729,0.235
10,0.001,sigmoid,0.716,0.355,0.729,0.235
10,0.001,sigmoid,0.716,0.355,0.729,0.235
2000,1.00E-05,sigmoid,0.716,0.354,0.729,0.234
1500,1.00E-05,sigmoid,0.716,0.354,0.729,0.234
1500,1.00E-05,sigmoid,0.716,0.354,0.729,0.234
3000,1.00E-05,sigmoid,0.715,0.354,0.729,0.234
1400,1.00E-05,sigmoid,0.715,0.354,0.729,0.234
1400,1.00E-05,sigmoid,0.715,0.354,0.729,0.234
3000,1.00E-05,sigmoid,0.715,0.354,0.729,0.234
1200,1.00E-05,sigmoid,0.715,0.354,0.729,0.234
1200,1.00E-05,sigmoid,0.715,0.354,0.729,0.234
1300,1.00E-05,sigmoid,0.715,0.354,0.729,0.234
1300,1.00E-05,sigmoid,0.715,0.354,0.729,0.234
1,0.001,sigmoid,0.711,0.353,0.711,0.235
10,0.0001,sigmoid,0.711,0.353,0.711,0.235
1,0.001,sigmoid,0.711,0.353,0.711,0.235
10,0.0001,sigmoid,0.711,0.353,0.711,0.235
100,1.00E-05,sigmoid,0.711,0.353,0.711,0.235
100,1.00E-05,sigmoid,0.711,0.353,0.711,0.235
0.1,0.01,sigmoid,0.702,0.344,0.697,0.229
0.1,0.01,sigmoid,0.702,0.344,0.697,0.229
1,0.0001,sigmoid,0.695,0.36,0.616,0.254
1,0.0001,sigmoid,0.695,0.36,0.616,0.254
10,1.00E-05,sigmoid,0.695,0.36,0.616,0.254
10,1.00E-05,sigmoid,0.695,0.36,0.616,0.254
0.1,0.001,sigmoid,0.695,0.36,0.616,0.254
0.1,0.001,sigmoid,0.695,0.36,0.616,0.254
100,0.001,sigmoid,0.69,0.329,0.694,0.216
100,0.001,sigmoid,0.69,0.329,0.694,0.216
1200,0.001,poly,0.67,0.347,0.532,0.257
0.1,auto,poly,0.668,0.343,0.532,0.253
0.1,scale,poly,0.668,0.344,0.528,0.255
1300,0.001,poly,0.667,0.343,0.528,0.254
1000,0.001,poly,0.667,0.342,0.528,0.253
1,0.01,poly,0.667,0.342,0.528,0.253
1400,0.001,poly,0.665,0.341,0.525,0.253
2000,0.001,poly,0.663,0.341,0.514,0.255
1500,0.001,poly,0.662,0.338,0.518,0.251
1,1.00E-05,sigmoid,0.659,0.35,0.468,0.279
1,1.00E-05,sigmoid,0.659,0.35,0.468,0.279
0.1,0.0001,sigmoid,0.659,0.35,0.468,0.279
0.1,0.0001,sigmoid,0.659,0.35,0.468,0.279
0.1,scale,sigmoid,0.657,0.3,0.648,0.196
0.1,scale,sigmoid,0.657,0.3,0.648,0.196
3000,0.001,poly,0.656,0.334,0.496,0.251
0.1,auto,sigmoid,0.65,0.294,0.634,0.191
0.1,auto,sigmoid,0.65,0.294,0.634,0.191
1,scale,poly,0.65,0.329,0.479,0.251
100,0.001,poly,0.646,0.34,0.43,0.282
0.1,0.01,poly,0.646,0.34,0.43,0.282
1,0.01,sigmoid,0.645,0.288,0.641,0.185
1,0.01,sigmoid,0.645,0.288,0.641,0.185
1000,0.001,sigmoid,0.64,0.283,0.644,0.181
1000,0.001,sigmoid,0.64,0.283,0.644,0.181
1200,0.001,sigmoid,0.638,0.282,0.634,0.181
1200,0.001,sigmoid,0.638,0.282,0.634,0.181
1,auto,poly,0.636,0.314,0.447,0.242
1,auto,poly,0.636,0.314,0.447,0.242
1300,0.001,sigmoid,0.634,0.278,0.637,0.178
1300,0.001,sigmoid,0.634,0.278,0.637,0.178
1400,0.001,sigmoid,0.634,0.278,0.637,0.177
1400,0.001,sigmoid,0.634,0.278,0.637,0.177
100,scale,sigmoid,0.633,0.276,0.637,0.176
100,scale,sigmoid,0.633,0.276,0.637,0.176
10,0.01,poly,0.633,0.312,0.437,0.243
2000,0.001,sigmoid,0.632,0.276,0.63,0.177
2000,0.001,sigmoid,0.632,0.276,0.63,0.177
1500,0.001,sigmoid,0.632,0.277,0.627,0.177
