subsample,n_estimators,max_depth,learning_rate,colsample_bytree,colsample_bylevel,roc_auc, F1,recall,precision
0.7,1000,3,0.01,0.5,0.6,0.731,0.373,0.739,0.249
0.7,1000,3,0.01,0.5,0.6,0.731,0.373,0.739,0.249
0.9,500,3,0.1,0.9,0.7,0.731,0.382,0.718,0.26
0.9,500,3,0.1,0.9,0.7,0.731,0.382,0.718,0.26
0.9,500,3,0.1,0.9,0.7,0.731,0.382,0.718,0.26
0.9,500,3,0.1,0.9,0.7,0.731,0.382,0.718,0.26
0.8,1000,3,0.01,0.6,0.6,0.73,0.373,0.736,0.25
0.8,1000,3,0.01,0.6,0.6,0.73,0.373,0.736,0.25
0.9,1000,3,0.01,0.5,0.6,0.729,0.371,0.739,0.248
0.9,1000,3,0.01,0.5,0.6,0.729,0.371,0.739,0.248
0.7,1000,3,0.01,0.5,0.8,0.729,0.371,0.736,0.248
0.7,1000,3,0.01,0.5,0.8,0.729,0.371,0.736,0.248
0.8,1000,3,0.01,0.5,0.7,0.729,0.372,0.736,0.249
0.8,1000,3,0.01,0.5,0.7,0.729,0.372,0.736,0.249
0.8,1000,3,0.01,0.7,0.6,0.729,0.372,0.736,0.249
0.8,1000,3,0.01,0.7,0.6,0.729,0.372,0.736,0.249
0.8,1000,3,0.01,0.7,0.7,0.729,0.371,0.736,0.248
0.8,1000,3,0.01,0.7,0.7,0.729,0.371,0.736,0.248
0.9,1000,3,0.01,0.5,0.7,0.729,0.372,0.736,0.249
0.9,1000,3,0.01,0.5,0.7,0.729,0.372,0.736,0.249
0.8,1000,3,0.01,0.6,0.5,0.728,0.37,0.736,0.247
0.8,1000,3,0.01,0.6,0.5,0.728,0.37,0.736,0.247
0.7,1000,3,0.01,0.5,0.7,0.728,0.371,0.732,0.249
0.7,1000,3,0.01,0.5,0.7,0.728,0.371,0.732,0.249
0.7,1000,3,0.01,0.6,0.6,0.728,0.372,0.732,0.249
0.7,1000,3,0.01,0.6,0.6,0.728,0.372,0.732,0.249
0.7,1000,3,0.01,0.9,0.5,0.728,0.371,0.732,0.248
0.7,1000,3,0.01,0.9,0.5,0.728,0.371,0.732,0.248
0.9,1000,3,0.01,0.5,0.5,0.727,0.369,0.736,0.246
0.9,1000,3,0.01,0.5,0.5,0.727,0.369,0.736,0.246
0.7,1000,3,0.01,0.7,0.6,0.727,0.37,0.732,0.248
0.7,1000,3,0.01,0.7,0.6,0.727,0.37,0.732,0.248
0.8,1000,3,0.01,0.5,0.6,0.727,0.369,0.732,0.247
0.8,1000,3,0.01,0.5,0.6,0.727,0.369,0.732,0.247
0.8,1000,3,0.01,0.6,0.8,0.727,0.37,0.732,0.248
0.8,1000,3,0.01,0.6,0.8,0.727,0.37,0.732,0.248
0.9,1000,3,0.01,0.9,0.6,0.727,0.371,0.729,0.249
0.9,1000,3,0.01,0.9,0.6,0.727,0.371,0.729,0.249
0.9,1000,3,0.01,0.5,0.8,0.727,0.371,0.729,0.249
0.9,1000,3,0.01,0.5,0.8,0.727,0.371,0.729,0.249
0.9,1000,3,0.01,0.9,0.6,0.727,0.371,0.729,0.249
0.9,1000,3,0.01,0.9,0.6,0.727,0.371,0.729,0.249
0.9,500,3,0.1,0.5,0.5,0.727,0.375,0.718,0.253
0.8,500,3,0.1,0.7,0.5,0.727,0.375,0.718,0.253
0.9,500,3,0.1,0.5,0.5,0.727,0.375,0.718,0.253
0.8,1000,3,0.01,0.5,0.5,0.726,0.369,0.732,0.246
0.8,1000,3,0.01,0.5,0.5,0.726,0.369,0.732,0.246
0.7,1000,3,0.01,0.6,0.7,0.726,0.369,0.729,0.247
0.7,1000,3,0.01,0.6,0.7,0.726,0.369,0.729,0.247
0.7,1000,3,0.01,0.7,0.7,0.726,0.369,0.729,0.247
0.7,1000,3,0.01,0.7,0.7,0.726,0.369,0.729,0.247
0.8,1000,3,0.01,0.6,0.7,0.726,0.369,0.729,0.247
0.8,1000,3,0.01,0.6,0.7,0.726,0.369,0.729,0.247
0.9,1000,3,0.01,0.9,0.5,0.726,0.369,0.729,0.247
0.9,1000,3,0.01,0.9,0.5,0.726,0.369,0.729,0.247
0.9,1000,3,0.01,0.5,0.9,0.726,0.37,0.729,0.248
0.9,1000,3,0.01,0.5,0.9,0.726,0.37,0.729,0.248
0.9,1000,3,0.01,0.5,0.9,0.726,0.37,0.729,0.248
0.9,1000,3,0.01,0.5,0.9,0.726,0.37,0.729,0.248
0.9,1000,3,0.01,0.6,0.7,0.726,0.369,0.729,0.247
0.9,1000,3,0.01,0.6,0.7,0.726,0.369,0.729,0.247
0.9,1000,3,0.01,0.8,0.5,0.726,0.369,0.729,0.247
0.9,1000,3,0.01,0.8,0.5,0.726,0.369,0.729,0.247
0.9,1000,3,0.01,0.9,0.5,0.726,0.369,0.729,0.247
0.9,1000,3,0.01,0.9,0.5,0.726,0.369,0.729,0.247
0.9,1000,3,0.01,0.7,0.7,0.726,0.37,0.729,0.248
0.9,1000,3,0.01,0.7,0.7,0.726,0.37,0.729,0.248
0.9,1000,3,0.01,0.8,0.8,0.726,0.37,0.729,0.248
0.9,1000,3,0.01,0.8,0.8,0.726,0.37,0.729,0.248
0.7,1000,3,0.01,0.6,0.9,0.726,0.37,0.725,0.248
0.7,1000,3,0.01,0.6,0.9,0.726,0.37,0.725,0.248
0.7,1000,3,0.01,0.6,0.8,0.726,0.371,0.725,0.249
0.7,1000,3,0.01,0.6,0.8,0.726,0.371,0.725,0.249
0.7,1000,3,0.01,0.6,0.9,0.726,0.37,0.725,0.248
0.7,1000,3,0.01,0.6,0.9,0.726,0.37,0.725,0.248
0.7,1000,3,0.01,0.7,0.8,0.726,0.37,0.725,0.248
0.7,1000,3,0.01,0.7,0.8,0.726,0.37,0.725,0.248
0.8,1000,3,0.01,0.9,0.6,0.726,0.37,0.725,0.248
0.8,1000,3,0.01,0.9,0.6,0.726,0.37,0.725,0.248
0.7,1000,3,0.01,0.9,0.8,0.726,0.371,0.725,0.249
0.7,1000,3,0.01,0.9,0.8,0.726,0.371,0.725,0.249
0.8,1000,3,0.01,0.9,0.6,0.726,0.37,0.725,0.248
0.8,1000,3,0.01,0.9,0.6,0.726,0.37,0.725,0.248
0.8,500,3,0.1,0.8,0.5,0.726,0.374,0.715,0.253
0.9,500,3,0.1,0.9,0.8,0.726,0.378,0.704,0.258
0.9,500,3,0.1,0.9,0.8,0.726,0.378,0.704,0.258
0.9,500,3,0.1,0.9,0.8,0.726,0.378,0.704,0.258
0.9,500,3,0.1,0.9,0.8,0.726,0.378,0.704,0.258
0.7,1000,3,0.01,0.8,0.5,0.725,0.368,0.729,0.246
0.7,1000,3,0.01,0.8,0.5,0.725,0.368,0.729,0.246
0.8,1000,3,0.01,0.7,0.8,0.725,0.369,0.729,0.247
0.8,1000,3,0.01,0.7,0.8,0.725,0.369,0.729,0.247
0.9,1000,3,0.01,0.6,0.5,0.725,0.367,0.729,0.246
0.9,1000,3,0.01,0.6,0.6,0.725,0.368,0.729,0.246
0.9,1000,3,0.01,0.6,0.6,0.725,0.368,0.729,0.246
0.9,1000,3,0.01,0.6,0.5,0.725,0.367,0.729,0.246
0.9,1000,3,0.01,0.7,0.5,0.725,0.368,0.729,0.246
0.9,1000,3,0.01,0.7,0.5,0.725,0.368,0.729,0.246
0.8,1000,3,0.01,0.5,0.9,0.725,0.369,0.725,0.247
0.8,1000,3,0.01,0.5,0.9,0.725,0.369,0.725,0.247
0.8,1000,3,0.01,0.5,0.9,0.725,0.369,0.725,0.247
0.8,1000,3,0.01,0.5,0.9,0.725,0.369,0.725,0.247
0.8,1000,3,0.01,0.8,0.7,0.725,0.369,0.725,0.248
0.8,1000,3,0.01,0.8,0.7,0.725,0.369,0.725,0.248
0.8,500,3,0.1,0.5,0.9,0.725,0.376,0.704,0.257
0.8,500,3,0.1,0.5,0.9,0.725,0.376,0.704,0.257
0.7,1000,3,0.01,0.4,0.9,0.724,0.366,0.729,0.245
0.7,1000,3,0.01,0.4,0.9,0.724,0.366,0.729,0.245
0.7,1000,3,0.01,0.7,0.5,0.724,0.367,0.729,0.245
0.7,1000,3,0.01,0.7,0.5,0.724,0.367,0.729,0.245
0.7,1000,3,0.01,0.5,0.5,0.724,0.368,0.725,0.246
0.7,1000,3,0.01,0.5,0.5,0.724,0.368,0.725,0.246
0.7,1000,3,0.01,0.5,0.9,0.724,0.368,0.725,0.247
0.7,1000,3,0.01,0.5,0.9,0.724,0.368,0.725,0.247
0.7,1000,3,0.01,0.6,0.5,0.724,0.368,0.725,0.246
0.7,1000,3,0.01,0.6,0.5,0.724,0.368,0.725,0.246
0.7,1000,3,0.01,0.5,0.9,0.724,0.368,0.725,0.247
0.7,1000,3,0.01,0.5,0.9,0.724,0.368,0.725,0.247
0.7,1000,3,0.01,0.9,0.6,0.724,0.368,0.725,0.247
0.7,1000,3,0.01,0.9,0.6,0.724,0.368,0.725,0.247
0.8,1000,3,0.01,0.5,0.8,0.724,0.367,0.725,0.246
0.8,1000,3,0.01,0.5,0.8,0.724,0.367,0.725,0.246
0.8,1000,3,0.01,0.8,0.5,0.724,0.367,0.725,0.246
0.8,1000,3,0.01,0.8,0.5,0.724,0.367,0.725,0.246
0.9,1000,3,0.01,0.6,0.8,0.724,0.368,0.725,0.246
0.9,1000,3,0.01,0.6,0.8,0.724,0.368,0.725,0.246
0.9,1000,3,0.01,0.7,0.6,0.724,0.368,0.725,0.246
0.9,1000,3,0.01,0.7,0.6,0.724,0.368,0.725,0.246
0.7,1000,3,0.01,0.9,0.9,0.724,0.369,0.722,0.248
0.7,1000,3,0.01,0.9,0.9,0.724,0.369,0.722,0.248
0.7,1000,3,0.01,0.9,0.9,0.724,0.369,0.722,0.248
0.7,1000,3,0.01,0.9,0.9,0.724,0.369,0.722,0.248
0.9,1000,3,0.01,0.8,0.7,0.724,0.368,0.722,0.247
0.9,1000,3,0.01,0.8,0.7,0.724,0.368,0.722,0.247
0.8,500,3,0.1,0.6,0.7,0.724,0.372,0.711,0.252
0.9,500,3,0.1,0.5,0.7,0.724,0.373,0.708,0.253
0.9,500,3,0.1,0.6,0.6,0.724,0.374,0.708,0.254
0.8,500,3,0.1,0.9,0.6,0.724,0.374,0.708,0.254
0.8,500,3,0.1,0.6,0.8,0.724,0.374,0.708,0.254
0.8,500,3,0.1,0.8,0.6,0.724,0.374,0.708,0.254
0.9,500,3,0.1,0.5,0.7,0.724,0.373,0.708,0.253
0.9,500,3,0.1,0.6,0.6,0.724,0.374,0.708,0.254
0.8,500,3,0.1,0.9,0.6,0.724,0.374,0.708,0.254
0.7,1000,3,0.01,0.4,0.6,0.723,0.365,0.729,0.244
0.7,1000,3,0.01,0.4,0.6,0.723,0.365,0.729,0.244
0.7,1000,3,0.01,0.4,0.7,0.723,0.365,0.729,0.244
0.7,1000,3,0.01,0.4,0.7,0.723,0.365,0.729,0.244
0.8,1000,3,0.01,0.7,0.5,0.723,0.366,0.729,0.244
0.8,1000,3,0.01,0.7,0.5,0.723,0.366,0.729,0.244
0.7,1000,3,0.01,0.9,0.7,0.723,0.367,0.722,0.246
0.8,1000,3,0.01,0.9,0.5,0.723,0.368,0.722,0.247
0.8,1000,3,0.01,0.9,0.5,0.723,0.368,0.722,0.247
0.7,1000,3,0.01,0.9,0.7,0.723,0.367,0.722,0.246
0.8,1000,3,0.01,0.9,0.5,0.723,0.368,0.722,0.247
0.8,1000,3,0.01,0.9,0.5,0.723,0.368,0.722,0.247
0.9,1000,3,0.01,0.8,0.9,0.723,0.367,0.722,0.246
0.9,1000,3,0.01,0.8,0.9,0.723,0.367,0.722,0.246
0.9,1000,3,0.01,0.8,0.9,0.723,0.367,0.722,0.246
0.9,1000,3,0.01,0.8,0.9,0.723,0.367,0.722,0.246
0.7,1000,3,0.01,0.7,0.9,0.723,0.368,0.718,0.247
0.7,1000,3,0.01,0.7,0.9,0.723,0.368,0.718,0.247
0.7,1000,3,0.01,0.7,0.9,0.723,0.368,0.718,0.247
0.7,1000,3,0.01,0.7,0.9,0.723,0.368,0.718,0.247
0.9,1000,3,0.01,0.9,0.8,0.723,0.368,0.718,0.247
0.9,1000,3,0.01,0.9,0.8,0.723,0.368,0.718,0.247
0.9,1000,3,0.01,0.7,0.9,0.723,0.368,0.718,0.247
0.9,1000,3,0.01,0.7,0.9,0.723,0.368,0.718,0.247
0.9,1000,3,0.01,0.7,0.9,0.723,0.368,0.718,0.247
0.9,1000,3,0.01,0.7,0.9,0.723,0.368,0.718,0.247
